"Reporting starts","Reporting ends","Ad name","Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (CAD)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (CAD)","Link clicks",shop_clicks,"CPC (cost per link click) (CAD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (CAD)","Landing page views","Cost per landing page view (CAD)"
2026-03-15,2026-04-13,"Img 4 | Pipeline should not be a surprise",inactive,"7-day click, 1-day view or 1-day engaged view",,,3,1.333333,,"Using campaign budget",0,0.52,Ongoing,-,-,-,4,130,1,,0.52,25,1,25,0.52,,
2026-03-15,2026-04-13,"Img 30 | Get Specified Earlier",not_delivering,"7-day click, 1-day view or 1-day engaged view",,,87,1.183908,,"Using campaign budget",0,4.55,Ongoing,-,-,-,103,44.174757,3,,1.516667,2.912621,1,0.970874,4.55,1,4.55
2026-03-15,2026-04-13,"Img 13 | Stop Selling Price, Sell Spec",inactive,"7-day click, 1-day view or 1-day engaged view",,,10,1,,"Using campaign budget",0,0.65,Ongoing,-,-,-,10,65,,,,,0,0,0,,
2026-03-15,2026-04-13,"Img 10 | Commercial Projects Early",inactive,"7-day click, 1-day view or 1-day engaged view",,,57,1.157895,,"Using campaign budget",0,2.82,Ongoing,-,-,-,66,42.727273,1,,2.82,1.515152,3,4.545455,0.94,,
2026-03-15,2026-04-13,"Img 13 | Stop Selling Price, Sell Spec",not_delivering,"7-day click, 1-day view or 1-day engaged view",,,82,1.04878,,"Using campaign budget",0,7.84,Ongoing,-,-,-,86,91.162791,6,,1.306667,6.976744,7,8.139535,1.12,3,2.613333
2026-03-15,2026-04-13,"Img 23 | Monday Morning: Pipeline Control",inactive,"7-day click, 1-day view or 1-day engaged view",,,11,1,,"Using campaign budget",0,0.76,Ongoing,-,-,-,11,69.090909,1,,0.76,9.090909,1,9.090909,0.76,,
2026-03-15,2026-04-13,"Img 3 | Stop Overpaying",inactive,"7-day click, 1-day view or 1-day engaged view",,,121,1.190083,,"Using campaign budget",0,20.37,Ongoing,-,-,-,144,141.458333,9,,2.263333,6.25,10,6.944444,2.037,,
2026-03-15,2026-04-13,"Img 13 | Stop Selling Price, Sell Spec",inactive,"7-day click, 1-day view or 1-day engaged view",,,198,1.363636,,"Using campaign budget",0,12.58,Ongoing,-,-,-,270,46.592593,52,,0.241923,19.259259,47,17.407407,0.26766,4,3.145
2026-03-15,2026-04-13,"Img 5 | Don't be the lowest bid",inactive,"7-day click, 1-day view or 1-day engaged view",,,80,1,,"Using campaign budget",0,4.77,Ongoing,-,-,-,80,59.625,2,,2.385,2.5,4,5,1.1925,1,4.77
2026-03-15,2026-04-13,"Img 6 | You're not losing bids",inactive,"7-day click, 1-day view or 1-day engaged view",,,8,1,,"Using campaign budget",0,0.3,Ongoing,-,-,-,8,37.5,,,,,0,0,0,,
2026-03-15,2026-04-13,"Img 4 | Pipeline should not be a surprise",not_delivering,"7-day click, 1-day view or 1-day engaged view",,,4,1,,"Using campaign budget",0,0.43,Ongoing,-,-,-,4,107.5,,,,,0,0,0,,
2026-03-15,2026-04-13,"Img 10 | Commercial Projects Early",inactive,"7-day click, 1-day view or 1-day engaged view",,,3,1,,"Using campaign budget",0,0.06,Ongoing,-,-,-,3,20,,,,,0,0,0,,
2026-03-15,2026-04-13,"Img 28 | Your Reps Are Chasing the Wrong Projects",inactive,"7-day click, 1-day view or 1-day engaged view",,,20,1,,"Using campaign budget",0,1.87,Ongoing,-,-,-,20,93.5,1,,1.87,5,2,10,0.935,,
2026-03-15,2026-04-13,"Img 24 | Stop Buying Bids",inactive,"7-day click, 1-day view or 1-day engaged view",,,85,1.070588,,"Using campaign budget",0,6.61,Ongoing,-,-,-,91,72.637363,2,,3.305,2.197802,3,3.296703,2.203333,,
2026-03-15,2026-04-13,"Img 9 | No Dashboards",inactive,"7-day click, 1-day view or 1-day engaged view",,,445,1.226966,,"Using campaign budget",0,36.89,Ongoing,-,-,-,546,67.564103,9,,4.098889,1.648352,14,2.564103,2.635,4,9.2225
2026-03-15,2026-04-13,"Img 25 | Your Window Before Bid",inactive,"7-day click, 1-day view or 1-day engaged view",,,5,1,,"Using campaign budget",0,0.05,Ongoing,-,-,-,5,10,,,,,0,0,0,,
2026-03-15,2026-04-13,"Img 12 | Pipeline Panic?",inactive,"7-day click, 1-day view or 1-day engaged view",,,183,1.153005,,"Using campaign budget",0,11.02,Ongoing,-,-,-,211,52.227488,8,,1.3775,3.791469,9,4.265403,1.224444,1,11.02
2026-03-15,2026-04-13,"Img 11 | Stop Being the Cheap Option",inactive,"7-day click, 1-day view or 1-day engaged view",,,2,1,,"Using campaign budget",0,0.28,Ongoing,-,-,-,2,140,1,,0.28,50,1,50,0.28,,
2026-03-15,2026-04-13,"Img 6 | You're not losing bids",inactive,"7-day click, 1-day view or 1-day engaged view",,,7,1.285714,,"Using campaign budget",0,0.72,Ongoing,-,-,-,9,80,,,,,0,0,0,,
2026-03-15,2026-04-13,"Img 28 | Your Reps Are Chasing the Wrong Projects",inactive,"7-day click, 1-day view or 1-day engaged view",,,2,1,,"Using campaign budget",0,0.12,Ongoing,-,-,-,2,60,,,,,0,0,0,,
2026-03-15,2026-04-13,"Img 3 | Stop Overpaying",inactive,"7-day click, 1-day view or 1-day engaged view",,,0,0,,"Using campaign budget",0,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-03-15,2026-04-13,"Img 19 | The Unfair Advantage",inactive,"7-day click, 1-day view or 1-day engaged view",,,16,1.0625,,"Using campaign budget",0,0.73,Ongoing,-,-,-,17,42.941176,,,,,0,0,0,,
2026-03-15,2026-04-13,"Img 19 | The Unfair Advantage",inactive,"7-day click, 1-day view or 1-day engaged view",,,0,0,,"Using campaign budget",0,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-03-15,2026-04-13,"Img 16 | Bid Invite Panic?",inactive,"7-day click, 1-day view or 1-day engaged view",,,0,0,,"Using campaign budget",0,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
