"Reporting starts","Reporting ends","Ad name","Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (CAD)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (CAD)","Link clicks",shop_clicks,"CPC (cost per link click) (CAD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (CAD)","Landing page views","Cost per landing page view (CAD)"
2026-03-10,2026-04-03,"Img 2 | Specs Lock Fast",not_delivering,"7-day click, 1-day view or 1-day engaged view",,,23,1,,"Using campaign budget",0,0.71,Ongoing,-,-,-,23,30.869565,2,,0.355,8.695652,2,8.695652,0.355,1,0.71
2026-03-10,2026-04-03,"Img 10 | Commercial Projects Early",inactive,"7-day click, 1-day view or 1-day engaged view",,,7,1,,"Using campaign budget",0,0.19,Ongoing,-,-,-,7,27.142857,,,,,0,0,0,,
2026-03-10,2026-04-03,"Img 20 | Your Reps Are Chasing Ghosts",inactive,"7-day click, 1-day view or 1-day engaged view",,,3,1.333333,,"Using campaign budget",0,0.05,Ongoing,-,-,-,4,12.5,,,,,0,0,0,,
2026-03-10,2026-04-03,"Img 20 | Your Reps Are Chasing Ghosts",inactive,"7-day click, 1-day view or 1-day engaged view",,,9,1,,"Using campaign budget",0,0.19,Ongoing,-,-,-,9,21.111111,,,,,0,0,0,,
2026-03-10,2026-04-03,"Img 30 | Get Specified Earlier",inactive,"7-day click, 1-day view or 1-day engaged view",,,128,1.054688,,"Using campaign budget",0,7.01,Ongoing,-,-,-,135,51.925926,1,,7.01,0.740741,3,2.222222,2.336667,1,7.01
2026-03-10,2026-04-03,"Img 17 | Trusted for 10+ Years",inactive,"7-day click, 1-day view or 1-day engaged view",,,0,0,,"Using campaign budget",0,0,Ongoing,-,-,-,0,0,,,,,0,0,0,,
2026-03-10,2026-04-03,"Img 14 | The Spec Window Is Where You Win",not_delivering,"7-day click, 1-day view or 1-day engaged view",,,275,1.087273,,"Using campaign budget",0,36.31,Ongoing,-,-,-,299,121.438127,23,,1.578696,7.692308,21,7.023411,1.729048,13,2.793077
2026-03-10,2026-04-03,"Img 28 | Your Reps Are Chasing the Wrong Projects",inactive,"7-day click, 1-day view or 1-day engaged view",,,20,1,,"Using campaign budget",0,1.87,Ongoing,-,-,-,20,93.5,1,,1.87,5,2,10,0.935,,
2026-03-10,2026-04-03,"Img 24 | Stop Buying Bids",inactive,"7-day click, 1-day view or 1-day engaged view",,,85,1.070588,,"Using campaign budget",0,6.61,Ongoing,-,-,-,91,72.637363,2,,3.305,2.197802,3,3.296703,2.203333,,
2026-03-10,2026-04-03,"Img 9 | No Dashboards",not_delivering,"7-day click, 1-day view or 1-day engaged view",,,1193,1.4057,,"Using campaign budget",0,114.74,Ongoing,-,-,-,1677,68.419797,34,,3.374706,2.02743,42,2.504472,2.731905,21,5.46381
2026-03-10,2026-04-03,"Img 24 | Stop Buying Bids",inactive,"7-day click, 1-day view or 1-day engaged view",,,3,1,,"Using campaign budget",0,0.19,Ongoing,-,-,-,3,63.333333,,,,,0,0,0,,
2026-03-10,2026-04-03,"Img 21 | Competitor Is Already In",inactive,"7-day click, 1-day view or 1-day engaged view",,,49,1.020408,,"Using campaign budget",0,3.3,Ongoing,-,-,-,50,66,1,,3.3,2,1,2,3.3,,
2026-03-10,2026-04-03,"Img 6 | You're not losing bids",inactive,"7-day click, 1-day view or 1-day engaged view",,,7,1.285714,,"Using campaign budget",0,0.72,Ongoing,-,-,-,9,80,,,,,0,0,0,,
2026-03-10,2026-04-03,"Img 4 | Pipeline should not be a surprise",inactive,"7-day click, 1-day view or 1-day engaged view",,,3,1.333333,,"Using campaign budget",0,0.52,Ongoing,-,-,-,4,130,1,,0.52,25,1,25,0.52,,
2026-03-10,2026-04-03,"Img 30 | Get Specified Earlier",not_delivering,"7-day click, 1-day view or 1-day engaged view",,,87,1.183908,,"Using campaign budget",0,4.55,Ongoing,-,-,-,103,44.174757,3,,1.516667,2.912621,1,0.970874,4.55,1,4.55
